,player_id,match_id,player,goals,shots,xG,yellow_cards,red_cards,key_passes,assists,xA,h_a,minutes_played,position,position_order
83,7997,27791,Julian Ryerson,1,2,0.11155164986848831,0,0,0,0,0,a,89,DL,4
84,239,27791,Pascal Groß,0,0,0,0,0,0,0,0,a,66,DMC,7
85,604,27791,Emre Can,0,1,0.03398311138153076,0,0,1,0,0.09208279103040695,a,79,DMC,7
86,8137,27791,Maximilian Beier,0,2,0.4483213722705841,0,0,2,0,0.0715617761015892,a,90,AMR,11
87,261,27791,Julian Brandt,0,0,0,0,0,4,1,0.5374643802642822,a,90,AMC,12
88,10542,27791,Jamie Bynoe-Gittens,0,0,0,0,0,0,0,0,a,66,AML,13
89,3738,27791,Serhou Guirassy,0,2,0.1296614557504654,0,0,0,0,0,a,90,FW,15
90,9202,27791,Felix Nmecha,0,0,0,0,0,0,0,0,a,24,Sub,17
91,3349,27791,Ramy Bensebaini,0,0,0,1,0,0,0,0,a,1,Sub,17
92,9749,27791,Donyell Malen,0,0,0,0,0,0,0,0,a,24,Sub,17
93,5248,27791,Marcel Sabitzer,0,0,0,1,0,0,0,0,a,11,Sub,17
